sort_name;random_time;random_steps;sorted_time;sorted_steps;reversed_time;reversed_steps;same_el_time;same_el_steps
BubbleSort;0.377;499500;0.255;499500;0.255;499500;0.254;499500
BubbleSortIverson1;0.385;498419;0.001;999;0.264;499500;0.001;999
BubbleSortIverson1&2;0;0;0;0;0.001;0;0;0
SelectionSort;0.967;499500;0.958;499500;0.959;499500;0.957;499500
LinearInsertionSort;0;0;0;0;0;0;0;0
BinaryInsertionSort;0.195;499500;0.191;499500;0.191;499500;0.192;499500
CountingSort;0;0;0.001;0;0;0;0.002;0
RadixSort;0.13;62000;0.078;62000;0.076;62000;0.08;62000
MergeSort;0.141;512;0.133;512;0.131;512;0.131;512
HoarSort;0.045;9900;0.01;9976;0.007;8977;0.007;999
LomutoSort;0.001;0;0.001;0;0.001;0;0.001;0
HeapSort;0.021;0;0.002;0;0.031;0;0.001;0
BubbleSort;0.384;499500;0.253;499500;0.254;499500;0.255;499500
BubbleSortIverson1;0.387;499269;0.002;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0.001;0;0.001;0
SelectionSort;0.967;499500;0.978;499500;0.959;499500;0.957;499500
LinearInsertionSort;0.001;0;0;0;0.001;0;0;0
BinaryInsertionSort;0.192;499500;0.192;499500;0.193;499500;0.193;499500
CountingSort;0.001;0;0.001;0;0;0;0;0
RadixSort;0.132;62000;0.077;62000;0.077;62000;0.08;62000
MergeSort;0.134;512;0.131;512;0.132;512;0.13;512
HoarSort;0.046;9057;0.008;9976;0.008;8977;0.008;999
LomutoSort;0;0;0;0;0.001;0;0;0
HeapSort;0.022;0;0.002;0;0.034;0;0.001;0
BubbleSort;0.373;499500;0.253;499500;0.254;499500;0.254;499500
BubbleSortIverson1;0.381;499395;0.001;999;0.263;499500;0.001;999
BubbleSortIverson1&2;0.001;0;0;0;0.001;0;0;0
SelectionSort;0.967;499500;0.958;499500;0.958;499500;0.964;499500
LinearInsertionSort;0;0;0;0;0.002;0;0;0
BinaryInsertionSort;0.192;499500;0.196;499500;0.192;499500;0.195;499500
CountingSort;0.001;0;0.001;0;0;0;0.001;0
RadixSort;0.131;62000;0.078;62000;0.077;62000;0.081;62000
