sort_name;random_time_small;random_steps_small;random_time_big;random_steps_big;sorted_time;sorted_steps;reversed_time;reversed_steps;arr_len
SelectionSort;8481;1.6191e+06;6523;1.6191e+06;6498;1.6191e+06;8082;1.6191e+06;1800
LinearInsertionSort;10671;680190;11661;797186;17;246;23938;1.6191e+06;1800
BinaryInsertionSort;8568;697303;8635;814153;94;17999;16795;1.63506e+06;1800
CountingSort;469;0;842;0;779;0;809;0;1800
RadixSort;1141;111600;1426;111600;1243;111600;1110;111600;1800
MergeSort;1093;17996;1103;17996;995;17996;985;17996;1800
HoarSort;203;5090;275;18606;108;19165;91;17753;1800
LomutoSort;3950;275635;350;21754;18469;1.3989e+06;12104;1.6209e+06;1800
HeapSort;905;0;1086;0;1120;0;1050;0;1800
BubbleSort;22539;1.80405e+06;21758;1.80405e+06;8611;1.80405e+06;27943;1.80405e+06;1900
BubbleSortIverson1;22988;1.74877e+06;22565;1.80234e+06;25;3797;23892;1.80405e+06;1900
BubbleSortIverson1&2;25815;1.74592e+06;25146;1.79803e+06;29;3793;28950;1.80405e+06;1900
SelectionSort;7722;1.80405e+06;7411;1.80405e+06;7151;1.80405e+06;8227;1.80405e+06;1900
LinearInsertionSort;11624;778783;13315;911795;18;285;25343;1.80405e+06;1900
BinaryInsertionSort;8008;797032;9907;929894;103;19138;19558;1.82101e+06;1900
CountingSort;469;0;861;0;802;0;923;0;1900
RadixSort;1205;117800;1510;117800;1346;117800;1181;117800;1900
MergeSort;1095;18998;1144;18998;1030;18998;991;18998;1900
HoarSort;208;6170;280;18465;114;20330;96;18853;1900
LomutoSort;4257;311204;317;23922;19357;1.52179e+06;13883;1.80595e+06;1900
HeapSort;1112;0;1273;0;1312;0;1306;0;1900
BubbleSort;23538;1.999e+06;32188;1.999e+06;9412;1.999e+06;30386;1.999e+06;2000
BubbleSortIverson1;22912;1.9457e+06;26119;1.99723e+06;26;3997;26800;1.999e+06;2000
BubbleSortIverson1&2;26773;1.94345e+06;27098;1.99515e+06;30;3988;30951;1.999e+06;2000
SelectionSort;9252;1.999e+06;9510;1.999e+06;8291;1.999e+06;8623;1.999e+06;2000
LinearInsertionSort;13402;848120;15327;1.01736e+06;19;285;30157;1.999e+06;2000
BinaryInsertionSort;8903;867441;10831;1.03653e+06;100;20238;21531;2.01696e+06;2000
CountingSort;502;0;840;0;749;0;727;0;2000
RadixSort;1289;124000;2034;124000;1946;124000;1233;124000;2000
MergeSort;1016;19999;1084;19999;1396;19999;1196;19999;2000
HoarSort;267;5106;263;17238;105;21557;89;19953;2000
LomutoSort;4066;341527;315;25788;22714;1.71858e+06;15538;2.001e+06;2000
HeapSort;1041;0;1314;0;1264;0;1136;0;2000
BubbleSort;24474;2.20395e+06;26975;2.20395e+06;11494;2.20395e+06;33461;2.20395e+06;2100
BubbleSortIverson1;25880;2.147e+06;29028;2.19806e+06;25;4197;32627;2.20395e+06;2100
BubbleSortIverson1&2;29993;2.1418e+06;30554;2.19536e+06;31;4187;33029;2.20395e+06;2100
SelectionSort;10630;2.20395e+06;9155;2.20395e+06;9161;2.20395e+06;10733;2.20395e+06;2100
LinearInsertionSort;13984;934385;16557;1.11536e+06;18;277;33367;2.20395e+06;2100
BinaryInsertionSort;11408;954796;11797;1.13565e+06;116;21382;24307;2.22297e+06;2100
CountingSort;425;0;829;0;769;0;1253;0;2100
RadixSort;1488;130200;1458;130200;1284;130200;1230;130200;2100
MergeSort;1194;23094;1878;23094;1058;23094;1004;23094;2100
HoarSort;261;6133;275;20634;110;22787;92;21105;2100
LomutoSort;4951;374516;456;29081;25037;1.91674e+06;18778;2.20605e+06;2100
HeapSort;1096;0;1378;0;1778;0;1200;0;2100
BubbleSort;29427;2.4189e+06;31513;2.4189e+06;10517;2.4189e+06;33804;2.4189e+06;2200
BubbleSortIverson1;28213;2.35428e+06;31544;2.41888e+06;27;4397;35785;2.4189e+06;2200
BubbleSortIverson1&2;34304;2.35428e+06;36181;2.41836e+06;35;4397;40660;2.4189e+06;2200
SelectionSort;9511;2.4189e+06;9722;2.4189e+06;9375;2.4189e+06;10174;2.4189e+06;2200
LinearInsertionSort;15829;1.01642e+06;17054;1.20779e+06;19;290;34203;2.4189e+06;2200
BinaryInsertionSort;10764;1.03793e+06;12391;1.22913e+06;111;22595;25058;2.43902e+06;2200
CountingSort;433;0;856;0;785;0;766;0;2200
RadixSort;1868;136400;1647;136400;1358;136400;1211;136400;2200
MergeSort;1149;24195;1390;24195;1499;24195;1128;24195;2200
HoarSort;214;7711;302;28048;116;24065;96;22305;2200
LomutoSort;5349;410706;344;28597;26748;2.0926e+06;18778;2.4211e+06;2200
HeapSort;1203;0;2094;0;1409;0;1264;0;2200
BubbleSort;33551;2.64385e+06;32903;2.64385e+06;12276;2.64385e+06;36390;2.64385e+06;2300
BubbleSortIverson1;28745;2.56760e+06;30991;2.6438e+06;27;4597;34221;2.64385e+06;2300
BubbleSortIverson1&2;35360;2.56419e+06;38978;2.64183e+06;34;4592;42156;2.64385e+06;2300
SelectionSort;10783;2.64385e+06;11287;2.64385e+06;11098;2.64385e+06;10955;2.64385e+06;2300
LinearInsertionSort;16384;1.11242e+06;18682;1.3228e+06;19;292;37088;2.64385e+06;2300
BinaryInsertionSort;15845;1.13506e+06;15047;1.3453e+06;117;23797;27472;2.66507e+06;2300
CountingSort;426;0;878;0;1253;0;848;0;2300
RadixSort;1413;142600;1596;142600;1405;142600;1305;142600;2300
MergeSort;2016;25297;2192;25297;1109;25297;1093;25297;2300
HoarSort;227;7527;309;21132;119;25355;101;23505;2300
LomutoSort;6161;449648;379;31148;29937;2.3161e+06;19569;2.64615e+06;2300
HeapSort;1272;0;1505;0;1556;0;1444;0;2300
BubbleSort;34043;2.8788e+06;36884;2.8788e+06;13251;2.8788e+06;40410;2.8788e+06;2400
BubbleSortIverson1;33887;2.80256e+06;37121;2.87645e+06;36;4797;45113;2.8788e+06;2400
BubbleSortIverson1&2;45694;2.79887e+06;44029;2.8679e+06;38;4796;47880;2.8788e+06;2400
SelectionSort;12308;2.8788e+06;12790;2.8788e+06;12963;2.8788e+06;12368;2.8788e+06;2400
LinearInsertionSort;21319;1.21821e+06;23685;1.50388e+06;23;324;45743;2.8788e+06;2400
BinaryInsertionSort;13361;1.24198e+06;16603;1.5275e+06;177;25029;31661;2.90112e+06;2400
CountingSort;491;0;1302;0;871;0;849;0;2400
RadixSort;1457;148800;1748;148800;1600;148800;1723;148800;2400
MergeSort;1307;26397;1439;26397;1271;26397;1258;26397;2400
HoarSort;285;6517;360;21998;139;26615;120;24705;2400
LomutoSort;6851;488694;463;33465;32973;2.48541e+06;23605;2.8812e+06;2400
HeapSort;1775;0;1819;0;1639;0;1473;0;2400
BubbleSort;40256;3.12375e+06;43522;3.12375e+06;14805;3.12375e+06;46154;3.12375e+06;2500
BubbleSortIverson1;38145;3.0254e+06;42201;3.12305e+06;39;4997;52469;3.12375e+06;2500
BubbleSortIverson1&2;45577;3.01671e+06;48433;3.12267e+06;38;4994;54432;3.12375e+06;2500
SelectionSort;14223;3.12375e+06;15096;3.12375e+06;14673;3.12375e+06;13616;3.12375e+06;2500
LinearInsertionSort;22616;1.3148e+06;25888;1.56711e+06;28;345;52153;3.12375e+06;2500
BinaryInsertionSort;15992;1.33976e+06;18373;1.59188e+06;147;26250;34272;3.14717e+06;2500
CountingSort;488;0;1040;0;945;0;909;0;2500
RadixSort;1588;155000;1948;155000;1755;155000;1530;155000;2500
MergeSort;1479;27495;1620;27495;1438;27495;1425;27495;2500
HoarSort;296;7619;405;23588;155;27847;132;25905;2500
LomutoSort;7626;528986;434;32797;37006;2.68753e+06;26261;3.12625e+06;2500
HeapSort;1693;0;1940;0;2022;0;1872;0;2500
BubbleSort;42734;3.3787e+06;40559;3.3787e+06;14733;3.3787e+06;45846;3.3787e+06;2600
BubbleSortIverson1;38687;3.2856e+06;46688;3.37732e+06;34;5197;53176;3.3787e+06;2600
BubbleSortIverson1&2;49817;3.28127e+06;49143;3.37218e+06;41;5189;53932;3.3787e+06;2600
SelectionSort;14282;3.3787e+06;14159;3.3787e+06;14120;3.3787e+06;14651;3.3787e+06;2600
LinearInsertionSort;22407;1.42673e+06;24672;1.67329e+06;25;392;48887;3.3787e+06;2600
BinaryInsertionSort;16963;1.45282e+06;19848;1.69918e+06;160;27497;39458;3.40322e+06;2600
CountingSort;520;0;1119;0;1042;0;1014;0;2600
RadixSort;1782;161200;2157;161200;1924;161200;1695;161200;2600
MergeSort;1620;28595;1719;28595;1502;28595;1477;28595;2600
HoarSort;310;7558;423;25916;164;29069;137;27105;2600
LomutoSort;8278;576538;514;33970;41190;2.8703e+06;30029;3.3813e+06;2600
HeapSort;1773;0;2039;0;2022;0;1840;0;2600
BubbleSort;46745;3.64365e+06;46734;3.64365e+06;15406;3.64365e+06;50311;3.64365e+06;2700
BubbleSortIverson1;42249;3.54127e+06;49184;3.64335e+06;35;5397;52447;3.64365e+06;2700
BubbleSortIverson1&2;47773;3.53877e+06;51063;3.64068e+06;44;5389;57384;3.64365e+06;2700
SelectionSort;14627;3.64365e+06;16241;3.64365e+06;15865;3.64365e+06;16464;3.64365e+06;2700
LinearInsertionSort;24396;1.52824e+06;25978;1.81196e+06;23;376;55031;3.64365e+06;2700
BinaryInsertionSort;17643;1.55554e+06;19260;1.83903e+06;155;28681;35984;3.66927e+06;2700
CountingSort;581;0;987;0;855;0;827;0;2700
RadixSort;1519;167400;2149;167400;1627;167400;1466;167400;2700
MergeSort;1405;29695;1573;29695;1425;29695;1868;29695;2700
HoarSort;324;7455;383;26677;151;30373;117;28305;2700
LomutoSort;8099;617765;431;36766;44034;3.12332e+06;28786;3.64635e+06;2700
HeapSort;1460;0;1800;0;2361;0;1712;0;2700
BubbleSort;45648;3.9186e+06;49017;3.9186e+06;17439;3.9186e+06;54277;3.9186e+06;2800
BubbleSortIverson1;48804;3.80412e+06;48787;3.91765e+06;34;5597;57212;3.9186e+06;2800
BubbleSortIverson1&2;54004;3.79965e+06;58553;3.91566e+06;43;5596;62506;3.9186e+06;2800
SelectionSort;16543;3.9186e+06;16694;3.9186e+06;16134;3.9186e+06;16752;3.9186e+06;2800
LinearInsertionSort;24282;1.64768e+06;30109;1.96625e+06;24;365;59486;3.9186e+06;2800
BinaryInsertionSort;17905;1.67604e+06;22006;1.99445e+06;152;29870;40141;3.94532e+06;2800
CountingSort;469;0;1037;0;953;0;926;0;2800
RadixSort;1688;173600;2031;173600;1798;173600;1646;173600;2800
MergeSort;1532;30798;1628;30798;1411;30798;1534;30798;2800
HoarSort;294;8713;405;30771;153;31708;130;29505;2800
LomutoSort;8506;664054;482;38200;42602;3.37827e+06;30388;3.9214e+06;2800
HeapSort;1488;0;2123;0;2565;0;2040;0;2800
BubbleSort;48482;4.20355e+06;57130;4.20355e+06;19365;4.20355e+06;57037;4.20355e+06;2900
BubbleSortIverson1;50474;4.0712e+06;54383;4.20015e+06;35;5797;62007;4.20355e+06;2900
BubbleSortIverson1&2;57662;4.06356e+06;62044;4.18914e+06;44;5786;66628;4.20355e+06;2900
SelectionSort;19331;4.20355e+06;17507;4.20355e+06;17363;4.20355e+06;18058;4.20355e+06;2900
LinearInsertionSort;26733;1.76688e+06;31792;2.12172e+06;28;382;63527;4.20355e+06;2900
BinaryInsertionSort;19133;1.79644e+06;23067;2.15107e+06;159;31087;46631;4.23137e+06;2900
CountingSort;446;0;996;0;931;0;900;0;2900
